Log file open, 04/16/15 09:57:32
LogInit:Display: Running engine for game: VehicleGame
LogInit: Version: 4.7.5-2503383+++depot+UE4-Releases+4.7
LogInit: API Version: 2455222
LogInit: Compiled (64-bit): Apr  6 2015 23:21:51
[2015.04.16-13.57.50:933][  0]LogDerivedDataCache: Loaded boot cache 0.76s 45MB C:/Users/Grimluckyreaper/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.04.16-13.57.50:933][  0]LogDerivedDataCache:Display: Loaded Boot cache: C:/Users/Grimluckyreaper/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc
[2015.04.16-13.57.51:166][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../../../Unreal Projects/VehicleGame/DerivedDataCache/DDC.ddp.
[2015.04.16-13.57.51:371][  0]LogDerivedDataCache:Display: Pak cache opened for reading ../../../Engine/DerivedDataCache/Compressed.ddp.
[2015.04.16-13.57.51:383][  0]LogDerivedDataCache: Using Local data cache path C:/Users/Grimluckyreaper/AppData/Local/UnrealEngine/Common/DerivedDataCache: Writable
[2015.04.16-13.57.56:197][  0]LogMeshUtilities: No automatic mesh reduction module available
[2015.04.16-13.57.56:197][  0]LogMeshUtilities: No automatic mesh merging module available
[2015.04.16-13.57.56:690][  0]LogInit: WinSock: version 1.1 (2.2), MaxSocks=32767, MaxUdp=65467
[2015.04.16-13.57.57:279][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Slate/Fonts/Roboto-Italic.ttf'
[2015.04.16-13.58.13:439][  0]LogLinker:Warning: Can't find file '/Game/UI/Menu/LoadingScreen'
[2015.04.16-13.58.13:439][  0]LogLinker:Warning: Can't find file '/Game/UI/Menu/LoadingScreen'
[2015.04.16-13.58.13:447][  0]LogUObjectGlobals:Warning: Failed to find object 'Object /Game/UI/Menu/LoadingScreen.LoadingScreen'
[2015.04.16-13.58.13:945][  0]UdpMessaging: Initializing bridge on interface 0.0.0.0:0 to multicast group 230.0.0.1:6666.
[2015.04.16-13.58.14:190][  0]LogLinker:Warning: Asset '../../../../../Unreal Projects/VehicleGame/Content/UI/Styles/DefaultVehicleMenuItemStyle.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.16-13.58.14:195][  0]LogLinker:Warning: Asset '../../../../../Unreal Projects/VehicleGame/Content/UI/Styles/DefaultVehicleMenuSoundsStyle.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.16-13.58.14:249][  0]LogLinker:Warning: Asset '../../../../../Unreal Projects/VehicleGame/Content/UI/Styles/DefaultVehicleMenuStyle.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.16-13.58.14:317][  0]LogAssetRegistry: FAssetRegistry took 0.0097 seconds to start up
[2015.04.16-13.58.14:423][  0]LogDirectoryWatcher:Warning: Failed to begin reading directory changes for ../../../Engine/Plugins/Experimental/CharacterAI/Content/. Error: 0
[2015.04.16-13.58.15:270][  0]SourceControl: Info Source control is disabled
[2015.04.16-13.58.15:270][  0]SourceControl: Info Source control is disabled
[2015.04.16-13.58.15:270][  0]SourceControl: Info Source control is disabled
[2015.04.16-13.58.15:270][  0]LogSourceControl: RunCommandInternalRaw: 'git version'
[2015.04.16-13.58.15:271][  0]LogSourceControl: RunCommandInternalRaw: ExecProcess ReturnCode=2 OutResults=''
[2015.04.16-13.58.15:293][  0]SourceControl: Info Source control is disabled
[2015.04.16-13.58.15:962][  0]LogObj: 24707 objects as part of root set at end of initial load.
[2015.04.16-13.58.15:962][  0]LogUObjectAllocator: 5345808 out of 0 bytes used by permanent object pool.
[2015.04.16-13.58.16:216][  0]LogEngine: Initializing Engine...
[2015.04.16-13.58.19:481][  0]LogInit: XAudio2 using 'Speakers (Realtek High Definition Audio)' : 2 channels at 48 kHz using 32 bits per sample (channel mask 0x3)
[2015.04.16-13.58.19:518][  0]LogInit: FAudioDevice initialized.
[2015.04.16-13.58.19:755][  0]LogAIModule: Creating AISystem for world NewWorld
[2015.04.16-13.58.19:813][  0]LogDerivedDataCache: Saved boot cache 0.06s 44MB C:/Users/Grimluckyreaper/AppData/Local/UnrealEngine/4.7/DerivedDataCache/Boot.ddc.
[2015.04.16-13.58.19:821][  0]LogInit: Texture streaming: Enabled
[2015.04.16-13.58.20:607][  0]LogAnalytics: Creating configured Analytics provider AnalyticsET
[2015.04.16-13.58.20:607][  0]LogAnalytics: ET APIKey = Rocket.Release. APIServer = http://et2.epicgames.com/ET2/. AppVersion = 4.7.5-2503383+++depot+UE4-Releases+4.7
[2015.04.16-13.58.20:607][  0]LogAnalytics: ET APIKey = Rocket.Release. DataRouterUploadURL = https://datarouter-public-service-gamedev.ol.epicgames.net/datarouter/api/v1/public/data. AppVersion = 4.7.5-2503383+++depot+UE4-Releases+4.7
[2015.04.16-13.58.20:608][  0]LogAnalytics: SetUserId 216ad70a4b3a102f49266e98852b3e1b|94eeed8cff384e178a9fc49eec0aee6f|5c619ee7-1b92-4f7d-a5a5-92e71355bcdd
[2015.04.16-13.58.20:608][  0]LogAnalytics: AnalyticsET::StartSession [Rocket.Release]
[2015.04.16-13.58.20:783][  0]LogInit: Transaction tracking system initialized
[2015.04.16-13.58.21:519][  0]BlueprintLog: New page: Editor Load
[2015.04.16-13.58.23:495][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.16-13.58.24:235][  0]LogTargetPlatformManager:Display: Building Assets For Windows
[2015.04.16-13.58.25:222][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Regular.ttf'
[2015.04.16-13.58.25:223][  0]LogSlate:Warning: Failed to load font data from '../../../Engine/Content/Editor/Slate/Fonts/Roboto-Bold.ttf'
[2015.04.16-13.58.25:269][  0]LogConsoleResponse:Display: 
[2015.04.16-13.58.25:269][  0]LogConsoleResponse:Display:   GraphicsQuality 1
[2015.04.16-13.58.26:682][  0]LogCook:Display: Done creating registry. It took  0.00s.
[2015.04.16-13.58.27:558][  0]SourceControl: Info Source control is disabled
[2015.04.16-13.59.25:432][  0]Cmd: MAP LOAD FILE="../../../../../Unreal Projects/VehicleGame/Content/Maps/DesertRallyRace.umap" TEMPLATE=0 SHOWPROGRESS=1 FEATURELEVEL=3
[2015.04.16-13.59.25:433][  0]LightingResults: New page: Lighting Build
[2015.04.16-13.59.25:459][  0]MapCheck: New page: Map Check
[2015.04.16-13.59.25:459][  0]LightingResults: New page: Lighting Build
[2015.04.16-13.59.25:484][  0]LogParticles: Destroying 0 GPU particle simulations for FXSystem 0x0000000018D1A520
[2015.04.16-13.59.26:471][  0]LogLinker:Warning: Asset '../../../../../Unreal Projects/VehicleGame/Content/Vehicles/VH_Buggy/Blueprint/VH_PlayerController.uasset' has been saved with empty engine version. The asset will be loaded but may be incompatible.
[2015.04.16-13.59.37:569][  0]BlueprintLog:Warning: Warning Blueprint Impact_default has been migrated and requires re-saving to avoid import errors
[2015.04.16-14.01.19:696][  0]MapCheck: Info Lake StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.19:700][  0]MapCheck: Info SM_AncientHouse_Window_2 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.19:702][  0]MapCheck: Info SM_AncientHouse_Window_71 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.19:725][  0]MapCheck: Info SM_House1_Walls_23 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.19:738][  0]MapCheck: Info SM_House1_Walls_58 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.19:838][  0]MapCheck: Info SM_House1_Wood_59 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.19:978][  0]MapCheck: Info SM_House1_Wood_61 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:121][  0]MapCheck: Info SM_House1_Wood_64 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:247][  0]MapCheck: Info SM_House1_Wood_65 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:381][  0]MapCheck: Info SM_House1_Wood_66 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:403][  0]MapCheck: Info SM_Throne_Exterior_CoverB_11 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:404][  0]MapCheck: Info SM_Throne_Exterior_CoverB_12 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:410][  0]MapCheck: Info SM_Throne_Exterior_CoverB_14 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:416][  0]MapCheck: Info SM_Throne_Exterior_CoverB_15 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:421][  0]MapCheck: Info SM_Throne_Exterior_CoverB_16 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:423][  0]MapCheck: Info SM_Throne_Exterior_CoverB_18 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:425][  0]MapCheck: Info SM_Throne_Exterior_CoverB_186 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:431][  0]MapCheck: Info SM_Throne_Exterior_CoverB_19 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:432][  0]MapCheck: Info SM_Throne_Exterior_CoverB_20 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:438][  0]MapCheck: Info SM_Throne_Exterior_CoverB_21 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:440][  0]MapCheck: Info SM_Throne_Exterior_CoverB_4 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:445][  0]MapCheck: Info SM_Throne_Exterior_CoverB_45 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:451][  0]MapCheck: Info SM_Throne_Exterior_CoverB_5 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:458][  0]MapCheck: Info SM_Throne_Exterior_CoverB_50 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:465][  0]MapCheck: Info SM_Throne_Exterior_CoverB_6 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:472][  0]MapCheck: Info SM_Throne_Exterior_CoverB_64 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:473][  0]MapCheck: Info SM_Throne_Exterior_CoverB_7 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:479][  0]MapCheck: Info SM_Throne_Exterior_CoverB_73 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:485][  0]MapCheck: Info SM_Throne_Exterior_CoverB_8 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:487][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_10 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:489][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_122 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:491][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_13 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:494][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_14 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:499][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_16 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:506][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_17 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:508][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_3 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:511][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_4 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:514][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_65 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:516][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_68 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:518][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_7 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:520][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_8 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:522][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_81 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:524][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_82 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:526][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_85 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:528][  0]MapCheck: Info SM_Throne_Exterior_CoverBlo_9 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:529][  0]MapCheck: Info SM_Throne_Exterior_Wall_01_9 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:531][  0]MapCheck: Info SM_Throne_Exterior_Wall_11 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:532][  0]MapCheck: Info SM_Throne_Exterior_Wall_2 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:534][  0]MapCheck: Info SM_Throne_Exterior_Wall_3 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:536][  0]MapCheck: Info SM_Throne_Exterior_Wall_4 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:537][  0]MapCheck: Info SM_Throne_Exterior_Wall_5 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:538][  0]MapCheck: Info SM_Throne_Exterior_Wall_6 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:540][  0]MapCheck: Info SM_Throne_Exterior_Wall_60 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:541][  0]MapCheck: Info SM_Throne_Exterior_Wall_7 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:543][  0]MapCheck: Info SM_Throne_Exterior_Wall_8 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:547][  0]MapCheck: Info SM_Throne_Exterior_Wall_9 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:550][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_01_24 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:552][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_10 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:554][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_11 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:556][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_12 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:558][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_13 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:560][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_15 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:564][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_2 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:567][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_20 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:570][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_21 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:571][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_22 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:573][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_4 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:577][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_5 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:579][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_6 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:582][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_7 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:585][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_8 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:586][  0]MapCheck: Info SM_Throne_Exterior_Wall_Broken_9 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:587][  0]MapCheck: Info SM_Throne_Interior_Stairs_1 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:589][  0]MapCheck: Info SM_Throne_Interior_Stairs_2 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:590][  0]MapCheck: Info SM_Throne_Interior_Stairs_3 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:591][  0]MapCheck: Info SM_Throne_Interior_Stairs_4 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:592][  0]MapCheck: Info SM_Throne_Interior_Stairs_5 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:597][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_01_31 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:599][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_02_39 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:603][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_03_21 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:604][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_04_56 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:606][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_10 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:609][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_11 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:611][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_123 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:612][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_13 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:616][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_15 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:620][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_16 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:623][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_19 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:625][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_20 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:630][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_208 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:633][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_21 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:634][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_22 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:636][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_23 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:638][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_24 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:640][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_25 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:641][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_26 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:643][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_27 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:645][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_28 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:646][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_29 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:652][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_30 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:656][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_32 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:658][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_34 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:661][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_35 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:667][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_36 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:673][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_37 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:675][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_38 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:681][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_39 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:686][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_40 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:690][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_42 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:693][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_43 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:695][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_45 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:701][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_48 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:703][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_5 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:705][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_50 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:711][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_52 StaticMeshComponent0 : Repaired painted vertex colors 
[2015.04.16-14.01.20:713][  0]MapCheck: Info SM_Throne_Interior_Wall_BrokenPiece_53 StaticMeshComponent0 : Repaired painted vertex colors 
